id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1.46E+18,1.46E+18,2021-11-07 07:54:42 Malay Peninsula Standard Time,11/7/2021,7:54:42,800,37826242,ccgamesceo,CCGAMES🕹🎮🎢,,@Liz_Wheeler If only their vaccine could block covid as effectively...,en,[],[],[],0,1,49,[],[],https://twitter.com/ccgamesceo/status/1457134377180278790,FALSE,,0,,,,,,,,"[{'screen_name': 'Liz_Wheeler', 'name': 'Liz Wheeler', 'id': '264361128'}]",,,,
1.46E+18,1.46E+18,2021-11-07 07:54:38 Malay Peninsula Standard Time,11/7/2021,7:54:38,800,1.11E+18,stephan_nyc,Stephan 🇺🇲,,I'd like Brandon to take the real vaccine!  #COVID19 #COVID #vaccine #VaccineDeaths #VaccineMandate #CDC #Fauci #JoeBiden #vaccinated #NoVaccinePassportsAnywhere #NoVaccinePassport #TheGreatReset #Pfizer #Moderna #AstraZeneca #JenPsaki #cnn #rochellewalenski  https://t.co/V0ahylpHRA,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/FDjH-XBXsAU6ful.jpg'],0,0,1,"['covid19', 'covid', 'vaccine', 'vaccinedeaths', 'vaccinemandate', 'cdc', 'fauci', 'joebiden', 'vaccinated', 'novaccinepassportsanywhere', 'novaccinepassport', 'thegreatreset', 'pfizer', 'moderna', 'astrazeneca', 'jenpsaki', 'cnn', 'rochellewalenski']",[],https://twitter.com/stephan_nyc/status/1457134360507949058,FALSE,,1,https://pbs.twimg.com/tweet_video_thumb/FDjH-XBXsAU6ful.jpg,,,,,,,[],,,,
1.46E+18,1.46E+18,2021-11-07 07:54:34 Malay Peninsula Standard Time,11/7/2021,7:54:34,800,1.33E+18,sickgirlproblem,Christal MaryLou,,@kaylejh I am on neither side as I have CIDP after a vaccination (not covid) but i do encourage vaccination. And yes i got my covid vac. Why are they throwing such a hissy fit over this. We have had to get our kids vaccinated for years for them to go to s,en,[],[],[],1,0,0,[],[],https://twitter.com/SiCkGiRlPrObLeM/status/1457134342052909066,FALSE,,0,,,,,,,,"[{'screen_name': 'kaylejh', 'name': 'kayle hill, MA ♿️', 'id': '514498219'}]",,,,
1.46E+18,1.44E+18,2021-11-07 07:54:32 Malay Peninsula Standard Time,11/7/2021,7:54:32,800,28549940,grandkidblessed,"With respect, I'm not looking for followers.🌊",,"@Ford As a life-long Ford owner &amp; as a grandparent, I'm really disappointed by the stance Aaron Rodgers is taking against the Covid vaccine. Our kids look up to the athletes you endorse, and Rodgers is a bad example. It's bad enough he won't take the ",en,[],[],[],0,0,0,[],[],https://twitter.com/GrandKidBlessed/status/1457134336428363785,FALSE,,0,,,,,,,,"[{'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': '15676492'}]",,,,
1.46E+18,1.46E+18,2021-11-07 07:54:28 Malay Peninsula Standard Time,11/7/2021,7:54:28,800,334451078,ogchel,Chelseaaa.,,@EdsWurd I work for the VA and we had a few veterans between the ages of 22-28 with asthma get vaccinated and the vaccine flared up there asthma. I’ve never caught covid and I have asthma but so many veterans were hospitalized once they were vaccinated.,en,[],[],[],1,0,0,[],[],https://twitter.com/ogchel/status/1457134318158073861,FALSE,,0,,,,,,,,"[{'screen_name': 'EdsWurd', 'name': 'Booster Boyz', 'id': '1274226647303163904'}]",,,,
1.46E+18,1.46E+18,2021-11-07 07:54:16 Malay Peninsula Standard Time,11/7/2021,7:54:16,800,289118612,tomthunkitsmind,Tomthunkit™,,"How many people have died from the vaccine in the U.S.? ONLY 3! (Updated July 23, 2021) Source: covid-101.(org)/science/how-ma…  635,257 US Deaths from COVID  Source:  https://t.co/WbI1lbGz4q   https://t.co/lTSlUngsun 10",en,[],['https://worldometers.info/coronavirus/countries-where-coronavirus-has-spread/'],['https://pbs.twimg.com/media/E8mnx_7WQAAx6K5.jpg'],0,1,2,[],[],https://twitter.com/TomthunkitsMind/status/1457134268732297220,FALSE,,1,https://pbs.twimg.com/media/E8mnx_7WQAAx6K5.jpg,,,,,,,[],,,,
1.46E+18,1.46E+18,2021-11-07 07:54:07 Malay Peninsula Standard Time,11/7/2021,7:54:07,800,1.23E+18,rebelfrog1,Rebelfrog,,@lsferguson Lol… ok. Good luck with that. Or you could just get the F****** vaccine. Or get Covid.your call. Haha.,en,[],[],[],1,0,3,[],[],https://twitter.com/Rebelfrog1/status/1457134231964946437,FALSE,,0,,,,,,,,"[{'screen_name': 'lsferguson', 'name': 'Steve Ferguson', 'id': '21651982'}]",,,,
1.46E+18,1.46E+18,2021-11-07 07:54:05 Malay Peninsula Standard Time,11/7/2021,7:54:05,800,372041924,1953mdl,Duane Hayes,,Cruz Introduces Bill to Ban COVID-19 Vaccine Mandates for Children via @WestJournalism  https://t.co/QUAzpJIJZi,en,"[{'screen_name': 'westjournalism', 'name': 'the western journal', 'id': '46520074'}]",['https://www.westernjournal.com/cruz-introduces-bill-ban-covid-19-vaccine-mandates-children/?utm_source=Twitter&utm_medium=PostTopSharingButtons&utm_campaign=websitesharingbuttons'],[],1,1,1,[],[],https://twitter.com/1953mdl/status/1457134220749459465,FALSE,,0,,,,,,,,[],,,,
1.46E+18,1.46E+18,2021-11-07 07:54:00 Malay Peninsula Standard Time,11/7/2021,7:54:00,800,2732925598,justintime931,Is that the best you got?,,@5MinAbs79 @lone_zach @LogicaLiberty @jag30475 @JeremyDBoreing @benshapiro @realDailyWire And where are we now?  Where are now is the end of covid as where we can live our lives without issue.  New therapeutic coming out in pill form.  Same efficacy as va,en,[],[],[],1,0,1,[],[],https://twitter.com/JustinTime931/status/1457134199941517318,FALSE,,0,,,,,,,,"[{'screen_name': '5MinAbs79', 'name': 'MBrow', 'id': '724727940'}, {'screen_name': 'lone_zach', 'name': 'LoneStarZach', 'id': '1396994663131791361'}, {'screen_name': 'LogicaLiberty', 'name': 'Logical Liberty', 'id': '755767570691743745'}, {'screen_name': 'jag30475', 'name': 'Scientist/unelected bureaucrat physician', 'id': '528483049'}, {'screen_name': 'JeremyDBoreing', 'name': 'Jeremy Boreing', 'id': '70174349'}, {'screen_name': 'benshapiro', 'name': 'Ben Shapiro', 'id': '17995040'}, {'screen_name': 'realDailyWire', 'name': 'The Daily Wire', 'id': '4081106480'}]",,,,
1.46E+18,1.46E+18,2021-11-07 07:53:59 Malay Peninsula Standard Time,11/7/2021,7:53:59,800,1569237006,dillonjcarroll,Dillon J. Carroll,,"I'm frustrated that the same people who criticize Biden for not ending the Covid-19 pandemic quicker, are often opposed to vaccine mandates. How do we think this pandemic ends? Magic?",en,[],[],[],1,1,8,[],[],https://twitter.com/dillonjcarroll/status/1457134196829261831,FALSE,,0,,,,,,,,[],,,,
